League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,2024/25,Arsenal,38.0,20.0,5.0,13.0,12.0,7.0,1.0,0.0,3.0,8.0,20.0,74.0,69.0,34.0,1.0,4.026315789473684,0.5694472222222221,60.0,40.0,5.0,60.0,0.0,61.54,52.63,1.947,1.816,0.895
English Premier League,2024/25,Aston Villa,38.0,11.0,10.0,17.0,7.0,3.0,1.0,3.0,2.0,9.0,22.0,66.0,58.0,51.0,1.263157894736842,4.7105263157894735,0.6108108108108109,63.64,36.36,9.09,50.0,30.0,52.94,57.89,1.737,1.526,1.342
English Premier League,2024/25,Bournemouth,38.0,13.0,14.0,11.0,9.0,4.0,0.0,2.0,3.0,4.0,16.0,56.0,58.0,46.0,0.7894736842105263,5.052631578947368,0.5662083333333333,69.23,30.77,0.0,35.71,14.29,36.36,42.11,1.474,1.526,1.211
English Premier League,2024/25,Brentford,38.0,16.0,8.0,14.0,10.0,3.0,3.0,0.0,0.0,6.0,15.0,56.0,66.0,57.0,0.9210526315789473,3.789473684210526,0.5261942857142857,62.5,37.5,18.75,0.0,0.0,42.86,39.47,1.474,1.737,1.5
English Premier League,2024/25,Brighton,38.0,15.0,12.0,11.0,9.0,5.0,1.0,4.0,3.0,3.0,19.0,61.0,66.0,59.0,1.1578947368421053,4.342105263157895,0.5510611111111111,60.0,40.0,6.67,58.33,33.33,27.27,50.0,1.605,1.737,1.553
English Premier League,2024/25,Chelsea,38.0,14.0,10.0,14.0,9.0,3.0,2.0,3.0,1.0,8.0,18.0,69.0,64.0,43.0,1.0263157894736843,5.2105263157894735,0.5876333333333333,64.29,35.71,14.29,40.0,30.0,57.14,47.37,1.816,1.684,1.132
English Premier League,2024/25,Crystal Palace,38.0,9.0,11.0,18.0,6.0,2.0,1.0,0.0,5.0,7.0,19.0,53.0,51.0,51.0,0.9210526315789473,4.184210526315789,0.6193885714285715,66.67,33.33,11.11,45.45,0.0,38.89,50.0,1.395,1.342,1.342
English Premier League,2024/25,Everton,38.0,11.0,8.0,19.0,7.0,3.0,1.0,1.0,2.0,3.0,16.0,48.0,42.0,44.0,0.868421052631579,3.3684210526315788,0.5545484848484848,63.64,36.36,9.09,37.5,12.5,15.79,42.11,1.263,1.105,1.158
English Premier League,2024/25,Fulham,38.0,9.0,12.0,17.0,4.0,4.0,1.0,5.0,1.0,6.0,24.0,54.0,54.0,54.0,1.105263157894737,3.9473684210526314,0.587389189189189,44.44,55.56,11.11,50.0,41.67,35.29,63.16,1.421,1.421,1.421
English Premier League,2024/25,Ipswich,38.0,8.0,17.0,13.0,4.0,2.0,2.0,0.0,3.0,0.0,15.0,22.0,36.0,82.0,1.0,4.052631578947368,0.5075324324324324,50.0,50.0,25.0,17.65,0.0,0.0,39.47,0.579,0.947,2.158
English Premier League,2024/25,Leicester,38.0,5.0,20.0,13.0,4.0,1.0,0.0,2.0,3.0,0.0,16.0,25.0,33.0,80.0,1.0263157894736843,3.789473684210526,0.5517578947368421,80.0,20.0,0.0,25.0,10.0,0.0,42.11,0.658,0.868,2.105
